
// OUTPUT - 5
&&NEWSITEMSTEXT, 0
1412, "Italian East Africa", "Liberate East Africa from Italy¶", "", "", "", "", "", "", ""
1413, "American Relations", "The US ", "", "", "", "", "", "", ""
1414, "Support Greece", "Free Thesalonika", "If we can free Thesalonika, Greece is likely to hold out against the Germans and Italians.", "", "", "", "", "", ""
1415, "Battle of Crete", "Crete must hold!", "The Greek government has relocated to Crete.", "", "", "", "", "", ""
1416, "Lend Lease", "Military Aid!", "The United States have instituted a new program dubbed 'Lend Lease' that should help the flow of Military Goods and equipment to us, Free France, the USSR, China and other Allied Nations.  It will defer payments on critical supplies until after the war and, more importantly, seems to end the US claim of neutrality in this war!", "", "", "", "", "", ""
1417, "Big convoy losses", "", "", "", "", "", "", "", ""
1418, "French Somaliland", "", "", "", "", "", "", "", ""
1419, "Iraq regime change", "Liberate Iraq", "Through intimidation and force, the Iraqi government has been displaced in favor of a pro-Axis leadership.  The legitimate leadership has fled and is asking us to restore them to power.  If we do, they are certain to be favorable to the Allied cause.", "", "", "", "", "", ""
142, "New Technology Level Reached", "%s Achieves Tech Level %s", "%s has today reported that they have successfully increased their Technology Rating to Level %s.", "", "", "", "", "", ""
1420, "US Troops in Iceland", "Assume Protectionist Role", "Our efforts to bring the Americans into the war are proceeding with slow steps.  They have agreed to take the responsibility of protecting Iceland.  They will send troops there soon and we can redeploy our units currently assigned to Iceland to other assignments.  Hopefully this marks the beginning of increased US involvement.", "", "", "", "", "", ""
1421, "Protect Malta", "Reinforce Malta with Air ¶and Naval Forces", "It has become apparent that the Axis forces are determined to capture Malta and eliminate one of our key military outposts in the Mediterranean.  We need to strengthen the defenses immediately and should deploy at least 5 Air Squadrons to the island and at least 8 warships to the surrounding waters.", "", "", "", "", "", ""
1422, "Enigma Machine Captured", "German Communications Vulnerable", "Our intelligence service is pleased to report that they have captured intact a German Enigma Machine.  With the assistance we have already received from the Polish Cipher Bureau before the war, we are now able to decode German messages.  Future intelligence gathered through Enigma intercepts will be codenamed 'Ultra'. ", "", "", "", "", "", ""
1423, "General Strike in Belgium", "100K Workers Demand ¶Wage Increase", "In what many are characterizing as an act of passive resistance against the occupying Nazis, on the first anniversary of the German Invasion, 100 thousand Belgians have gone on strike, demanding a wage increase.  It began in industrial town of Seraing and was led by Julien Lahaut, head of the Belgian Communist Party. ", "", "", "", "", "", ""
1424, "Syria–Lebanon Campaign", "Liberate Syria and Lebanon¶", "On May 1st, Vichy leadership allowed for German forces to use air bases in Syria.  We need to assure that the Germans cannot use these strategic locations again.   We need to prioritize the liberation of Syria to help limit German influence on other nations in the Middle East.", "Success", "Fail", "", "", "", ""
1425, "German Sub Sinks US Ship", "SS Robin Moor Sunk by U-Boat", "After allowing the ship's passengers and crew to disembark in life boats, German submarine U-69 torpedoed and sank the US Steamship SS Robin Moor, claiming the ship was carrying supplies to Germany's enemy.  The event has caused the United States to order all German and Italian consulates within the US closed (not embassies), further worsening relations.", "", "", "", "", "", ""
1426, "Operation BattleAxe", "Take Tobruk for the Allies", "Rommel has prepared significant defensive positions around Tobruk, but it is imperative that we break the Axis hold on it, and quickly.  Our analysts estimate that we have a window of approximately 4 months before Germany and Italy will be able to pour additional reinforcements in to North Africa and retake the offensive. ", "Success", "Fail", "", "", "", ""
1427, "Barbarossa", "Germany attacks USSR", "Germany has launched an invasion of Russia!  It is obvious that Hitler has intended this move for quite a while.  It remains to be seen whether Stalin can rally his forces to resist.", "", "", "", "", "", ""
1428, "Lie in wait", "", "Our U Boats report that they are now on station to intercept Allied shipping.  Their supply lines will definitely be at our mercy.", "", "", "", "", "", ""
1429, "German Offensive", "Germans in the Ardennes", "Rather than attempting to penetrate the Maginot Line, it appears that Germany has launched their offensive against France through the Ardennes.  We need to adjust our deployments appropriately or we risk disaster.", "", "", "", "", "", ""
143, "Refugees", "", "The refugee population in %s from %s have sworn allegiance to the local government.", "", "", "Acknowledge", "", "", ""
1430, "Germans Advancing", "Defenses Breached", "The German attack has certainly been well planned.  They are advancing quickly and our forces may need to withdraw quickly to avoid capture.", "", "", "", "", "", ""
1431, "Iceland Protected", "", "It has become necessary for us to occupy Iceland to prevent a possible invasion by the Nazis.  If Germany were to control Iceland they would be able to easily interdict shipping from North America.  Our supply lines would be very vulnerable...", "", "", "", "", "", ""
1432, "Build Capacity Increased", "", "Our capacity to produce Military Units has improved.  We should immediately take advantage of this implement an aggressive expansion program.  This might be our only hope in preventing a German invasion of our homeland.", "", "", "", "", "", ""
1433, "France has Fallen", "", "It certainly did not take Germany long to defeat France.  If we wish to avoid a similar fate, we need to mobilize our nation immediately and dedicate all of resources to the upcoming challenge.", "", "", "", "", "", ""
1434, "RAF Deployment Report", "150 Squadrons Surpassed", "The Royal Air Force have certainly made good progress on their deployments.  They now have over 150 Squadrons deployed to protect the empire from the Luftwaffe.", "", "", "", "", "", ""
1435, "Italy Joins Conflict", "Launches Attack In France", "This is no surprise.  It was obviously only a question of time that Italy would involve themselves against France.  The opportunity was just too good for them to pass up with Germany doing the lion's share of work in Northern France.  This is nothing but Mussolini trying to grab some free land and try to ingratiate himself with Hitler.  Let us make him regret his choice of Allies...", "", "", "", "", "", ""
1436, "Italy invading Egypt", "", "", "", "", "", "", "", ""
1437, "East Africa Deployment", "Forces Ready for Attack", "Our Military Analysts believe that we have now deployed enough troops to North Africa to launch an effective offensive.  ", "", "", "", "", "", ""
1438, "We will help the Greeks", "", "", "", "", "", "", "", ""
1439, "North Africa Report", "Tobruk Falls", "Congratulations...  Tobruk is ours!  This is no time to stop and admire our accomplishiments though.  We must continue to apply pressure to the Italians and force them from North Africa.", "", "", "", "", "", ""
144, "We're being bombarded!", "", "Our %s at %s has been bombarded.", "", "", "Acknowledge", "", "", ""
1440, "Africa Report", "British Somaliland Lost", "Unfortunately British Somaliland has fallen.  We need to regroup our African forces and launch a revised plan for protecting our African interests.", "", "", "", "", "", ""
1441, "Vichy Somaliland", "Take Vichy Somaliland", "Vichy Somaliland would provide an excellent staging area for a renewed offensive in Eastern Africa.  Djibouti would provide the port to land our troops and they can be protected by our forces stationed in the Aden Protectorate.", "", "", "", "", "", ""
1442, "Africa Report", "Italian Control of East Africa Ends", "We are making significant progress in Africa.  With the elimination of the Italians in East Africa we should be able to re-focus our efforts on North Africa.", "", "", "", "", "", ""
1443, "Africa Report", "Vichy no longer controls Somaliland", "Congratulations.  We have eliminated the Vichy forces from East Africa.  But there is still significant work that needs to be done..", "", "", "", "", "", ""
1444, "success", "", "", "", "", "", "", "", ""
1445, "fail", "", "", "", "", "", "", "", ""
1446, "Iraqi Government Restored", "", "", "", "", "", "", "", ""
1447, "Forces Stationed in Malta", "", "", "", "", "", "", "", ""
1448, "Syria no longer under Vichy Control", "", "", "", "", "", "", "", ""
1449, "North Africa Report", "Tobruk falls to Allies!", "This does not mark the end of the African Campaign by any means...  As Churchill has said, 'this is not the end.  It is not even the beginning of the end.  But it is, perhaps, the end of the beginning.'  We need to press our advantage and continue to make gains in North Africa.", "", "", "", "", "", ""
145, "Bridge Destroyed", "%s Bridge Destroyed at %s", "A vital bridge in %s was reported destroyed today, at %s.", "%s has lost a bridge at %s.", "", "", "", "", ""
1450, "North Africa Report", "We were unable to capture Tobruk", "North Africa remains critical and we need to mount a new offensive operation here as soon as possible.", "", "", "", "", "", ""
1451, "Negotiations begin with USSR", "Closer ties with Soviets", "Speak to the Soviet diplomat about closer ties.", "", "", "", "", "", ""
1452, "Air Base in Newfoundland", "We need an air feild or base¶at 558, 154", "", "", "", "", "", "", ""
1453, "South East Asia Report", "Siam under pressure from Japan", "The Thai leadership is looking to us and the Americans to guarantee their safety against the Japanese but the Americans are unwilling to commit, and we cannot make these guarantees on our own.  Should the Japanese attack Siam, we should see what support we can offer.", "", "", "", "", "", ""
1454, "The Atlantic Charter", "Agreement with US", "Our agreement with Roosevelt, 'The Atlantic Charter', has been officially released.  As you know, it details the goals and aims of the Allied powers concerning the war and the post-war world.  It certainly makes it clear to the Axis powers that the United States will not tolerate their ambitions and will support our efforts.", "", "", "", "", "", ""
1455, "Operation Countenance", "Invade Iran", "Recent communications with Iran indicate the Shah is unwilling to commit to the Allied cause and grows ever closer to Herr Hitler.  We have consulted with the Soviets and are agreed that we must secure the oil assets located in the Abadan oilfields from the Axis threat.  The Soviets will join is in declaring war on Iran to depose the Shah and have his son installed as the ruler.  The Shah's son will is more favorable to the Allied cause.", "", "", "", "", "", ""
1456, "Air Raids Requested", "Bombing Raids Against ¶Düsseldorf and Hannover", "It is time to take the air battle to the Germans.  We need to launch significant air raids (at least 20 Squadrons to each target) directly at the heart of their industrial machine over Düsseldorf and over Hannover.  Not only will this hinder their ability to continue manufacturing the tools of war, but it will also force them to redeploy air assets from the Channel and from the Eastern Front, weakening their strengths in these locations.", "Success", "Fail", "", "", "", ""
1457, "Closer ties approved", "", "", "", "", "", "", "", ""
1458, "Japan Launches War Against US", "Actions Expected in South East Asia", "With the Japanese attacks against the United States, we can now expect them to also take actions against our possessions in South East Asia.  We should endeavor to increase our defensive forces throughout the Southeast Asia and Oceania Theaters.  It doesn't' take an analyst to know that Hong Kong will likely be their first objective...", "", "", "", "", "", ""
1459, "Declaration by United Nations", "Join declaration", "", "", "", "", "", "", ""
146, "World Market Boycott", "World Market Boycotts %s Trade with %s", "In business news today, the World Market announced that they have initiated a trade boycott in %s against %s.  This is just a further sign of the World Market's growing distrust of that region's leadership.", "", "", "Acknowledge", "", "", ""
1460, "Japan in Dutch East Indies", "", "", "", "", "", "", "", ""
1461, "Japanese attack New Guinea", "", "", "", "", "", "", "", ""
1462, "Battle of  Madagascar", "Take Malagasy from Vichy", "We need to limit the ability of the Axis forces to operate in the Indian Ocean.  They are currently using Malagasy as a resupply port, so we need to take that Island as soon as possible.", "Success", "Fail", "", "", "", ""
1463, "Battle of the St. Lawrence", "", "", "", "", "", "", "", ""
1464, "Anglo-Soviet Treaty", "Ally with Stalin¶", "Although our distrust of Stalin continues, it is imperative that we sign an agreement with Russia to collaborate in our efforts to defeat Germany.", "We have managed to negotiate the treaty successfully without recognizing Russia's territorial expansion into Finland, the Baltics, Eastern Poland, and Northern Romania.", "Without this agreement, one war might end with the start of another...", "", "", "", ""
1465, "North Africa", "Push Axis out of Tunisia¶and Libya", "We have the opportunity to end the Western Desert Campaign.  If we can clear all the coastal areas, we should be able to finally secure North Africa!", "", "", "", "", "", ""
1466, "Operation Torch", "Algeria and Morocco¶", "", "", "", "", "", "", ""
1467, "Invasion will be Required", "", "", "", "", "", "", "", ""
1468, "Stalin Demands Second Front", "", "", "", "", "", "", "", ""
1469, "Operation Avalanche", "Conquer Italy", "Italy is certainly the weakest link in the Axis chain.  Our Military Advisers recommend a naval invasion of either Sicily or Sardinia and then using one of those islands from which to launch an attack against the mainland.", "", "", "", "", "", ""
147, "World Market Lifts Boycott", "World Market Lifts %s Trade Boycott with %s", "In business news today, the World Market announced that it has lifted their trade boycott in %s with %s.", "", "", "Acknowledge", "", "", ""
1470, "Mussolini arrested", "", "", "", "", "", "", "", ""
1471, "Operation Hydra ", "", "", "", "", "", "", "", ""
1472, "Middle Eastern Kingdoms", "Axis Influence Growing", "Saudi Arabia, Iran and Iraq represent important regions both strategically and economically.  We need to ensure that they do not join the Axis powers.  Hopefully diplomacy will be able to provide the needed incentives, but if not, we must be prepared...", "", "", "", "", "", ""
1473, "Italy DoW on Germany", "", "", "", "", "", "", "", ""
1474, "Allied Expeditionary Force", "", "", "", "", "", "", "", ""
1475, "Retake Burma", "Retake Burma", "", "", "", "", "", "", ""
1476, "Liberate Europe", "Liberate Europe", "It is time that we fight our way to Berlin and end this world war.", "", "", "", "", "", ""
1477, "Iranian Government Replaced", "Axis Influence Reversed", "Reza Shah Pahlavi has been deposed and replaced with his son.  Mohammad Reza Shah Pahlavi is much more amenable to our Allied cause and will certainly not supply oil to the Axis.", "", "", "", "", "", ""
1478, "French Malagasy Restored", "Free French Take Control", "Operation Streamline Jane is now complete.  The Vichy forces have been defeated in Malagasy, and control of that strategic island has been returned to Free French rule.  This will certainly help ensure the safety of Allied Merchant Shipping in the Indian Ocean.", "", "", "", "", "", ""
1479, "North Africa Report", "Axis Forces reduced in North Africa", "We have made significant strides in reducing the Axis presence in North Africa.  We should continue to push and not allow them a chance to reinforce.", "", "", "", "", "", ""
148, "Satellite Launch Detected", "%s Satellite Launch Detected", "A satellite launch was reported in %s today.  Sources were unable to confirm the nature of the satellite.", "", "", "Acknowledge", "", "", ""
1480, "Vichy France Defeated", "Axis Lose French North Africa", "The loss of the Vichy colonies in North Africa has dealt a considerable blow to Axis ambitions.  It will also enable us to concentrate on operations within Europe and Asia.", "", "", "", "", "", ""
1481, "Italian Army Defeated", "Germany Continues to Occupy Italy", "Congratulations.  Italy has signed the Armistice of Cassibile, unconditionally surrendering.  Unfortunately German troops continue to occupy much of Italy and hold strong defensive positions.  It will continue to be a costly battle to eliminate these Nazi forces. ", "", "", "", "", "", ""
1482, "Advisory Report", "Kingdom of Albania", "Albania is strategically and economically important to our ambitions.  Unfortunately they do not seem open to our diplomatic advances for closer ties.  If we cannot achieve our goal diplomatically, we may need to consider a military option.", "", "", "", "", "", ""
1483, "Rome-Berlin Axis", "Consider Non-Aggression Pact ¶with Germany", "The time has come to decide if we should align ourselves more closely with Berlin.  If we sign this 'Treaty of Friendship' they will certainly use it to further their own European plans, but it will benefit us as well!  Having support from another European power definitely undermines the condemnation we have been subjected to by the World Market.  ¶¶We should not keep the Germans waiting... They would like our response within 50 days.", "The Treaty of Friendship has been signed, the Rome-Berlin Axis is surely just the beginning.", "The window has passed for this agreement.  Perhaps we will find the opportunity for cooperation with the Germans at a later date.", "", "", "", ""
1484, "Anti-Comintern Pact", "Japan and Germany Sign Treaty", "Japan and Germany have signed a Mutual Defense agreement.  Germany has also sent a diplomat to see us and explain the terms of the agreement.  There seems to be hope that we will participate as well.  We should review what they are offering and consider the matter...", "", "", "", "", "", ""
1485, "Nyon Conference Fails", "Relations with France and Britain Unimproved", "The French and British continue their efforts to limit our influence in Europe.  More to the point, they still will not officially recognize our authority in Abyssinia (Ethiopia).  It seems unlikely that we will be able to improve our international relationships or appease the World Market.", "", "", "", "", "", ""
1486, "Anti-Comintern Pact Expanded", "Join Japan and Germany in¶Mutual Defense", "It is certainly time to choose a side in Europe.  The failure of the Stresa front (the Franco-British initiative to contain German ambitions) is a clear sign that Germany is the strongest willed of our neighbors and therefore our best choice for an alliance.  Under the guise to of the Anti-Comintern Pact, we should ally ourselves more closely with Germany.", "This with cement the unity of Fascist and Nazi ideologies against the spread of communism!", "Failure to join the Anti-Comintern Pact could lead to repercussions from Germany.", "", "", "", ""
1487, "British and French Guarantees", "Mutual Defense", "The Western powers continue to meddle in Eastern European matters.  They had previously made guarantees for Poland, now extended to Greece and Romania.  Their guarantees to Greece are a clear challenge to our authority in the region.  The Germans seem unimpressed with the these guarantees.  It seems likely that we will need to align ourselves to Germany if we wish to further our own goals.", "", "", "", "", "", ""
1488, "Sudeten Crisis", "Germany Seeks Support¶", "Under the pretext of protecting the interests of ethnic Germans living in Czechoslovakia, Hitler has demanded the annexation of the Sudetenland.  Germany is definitely on the march and we should show our support or we could face serious consequences.", "That was probably very wise...  By supporting German ambitions we can benefit from them!", "By not supporting Germany, there is no telling how this will affect our position in Europe...", "", "", "", ""
1489, "", "", "", "", "", "", "", "", ""
149, "International Treaty Broken", "%s Breaks %s Treaty with %s", "In Diplomatic News today it has been confirmed that %s has unilaterally broken their %s treaty with %s.  Neither region would comment on this development.", "%s today surprised the diplomatic community by breaking their %s treaty with %s.  This does not bode well for relations between the two regions.", "%s has today unilaterally broken their %s treaty with %s.  Reliable sources have commented that this is just another indication of the deteriorating relations between the two regions.", "Acknowledge", "Condemn Action", "Support Action", ""
1490, "", "", "", "", "", "", "", "", ""
1491, "Anshchluss", "Austria Annexed", "Germany has achieved the annexation of Austria without firing a shot.  This certainly emphasizes that the rest of Europe is unwilling to oppose Hitler's Reich!", "", "", "", "", "", ""
1492, "Tensions in Europe Mount", "Czechoslovakian Troops Mobilized", "Hitler's increasing aggressiveness has finally triggered a reaction.  Czechoslovakia has begun mobilizing their military and building extensive fortifications on their border with German.  Further escalation is inevitable.", "", "", "", "", "", ""
1493, "Czechoslovakia Capitulates", "German Occupation", "Czechoslovakia has collapsed.  Its territory has either been divided among the German puppet states of Bohemia and Moravia or the Slovak Republic.  Of course some territory has also been annexed by Germany, Hungary, and Poland.  The world has been given another sampling of Hitler's ambitions...", "", "", "", "", "", ""
1494, "Memel Seized", "German Claims Furthered", "Lithuania has been forced to accept a German ultimatum demanding the return of Memel to German control.  Hitler has corrected another insult from the Treaty of Versailles.  ", "", "", "", "", "", ""
1495, "Military Recommendation", "Control the Mediterranean", "With the French defeated, we have the opportunity to better secure the Mediterranean from Allied traffic.  If we can limit the British ability to operate in the Med, it will help to both secure our North African territories and make British holdings (such as Malta) much more vulnerable.", "", "", "", "", "", ""
1496, "Molotov-Ribbentrop Pact", "Violation of Anti-Comintern Pact", "To our great surprise, Germany has signed a non-aggression pact with the Soviets.  This is difficult to understand considering how strongly Hitler dislikes Stalin.  There must be a larger strategy at work here.  We should be prepared for whatever their next step may be and forgive Germany this breaking of the principle condition of the Anti-Comintern Pact.", "", "", "", "", "", ""
1497, "British East Africa", "Conquer British East Africa¶", "The only way to truly secure our territories in Africa is to eliminate the British presence there.  Our next target should be British East Africa.  Capturing that territory will eliminate another key port the British Navy has on the India Ocean and will further reduce their ability to reinforce Africa.", "", "", "", "", "", ""
1498, "British Sudan", "Conquer British Sudan¶", "One of our ultimate prizes in Africa is the control of the Suez Canal Zone.  The next logical step for Italy to achieve this would be to eliminate the British from the Sudan.  This would further limit the ability of their navy to patrol the Gulf of Suez and moves us ever closer to our goals...", "", "", "", "", "", ""
1499, "Tripartite Pact", "Offer of Alliance with¶Germany and Japan", "The Germans have invited us to join them and the Japanese in a pact to define the new world order we are mutually working towards.  With your permission, we will gladly join this alliance.", "Congratulations.  We will now 'stand by and co-operate with one another... and establish and maintain a new order of things... to promote the mutual prosperity and welfare of the peoples concerned.'", "By not signing the Tripartite Pact, we are stepping away from closer relations with Germany and Japan.", "", "", "", ""
15, "Off the record...", "", "I hope you don't mind me saying so, but I think our government's social policies are in disarray.  We need a major infusion of funds and a new plan to bring social equity to our population.", "Funding shortfalls and a lack of attention have led to a deterioration of our Social system.  I think you should renew your commitment to Social Justice and take some action.", "This government's social policies have been a disaster.  We need new funding and a plan of action to turn things around before the situation deteriorates further.", "Acknowledge", "", "", ""
150, "Enemy Troops Enter Capital", "Enemy Troops Enter %s's Capital %s", "Sources are reporting that enemy troops have now entered %s's Capital City of %s.", "", "", "Acknowledge", "", "", ""
1500, "Defend North Africa", "Hold Libya", "The British are threatening Libya and we can not afford to lose our colony.  It is crucial to both our resource needs as well as allowing us to exploit native Libyans for military service.  We need to make every effort to reinforce and defend our territory.", "", "", "", "", "", ""
1501, "Russia Defeated", "Stalin Surrenders", "Congratulations.  Operation Barbarossa has succeeded!  We have eliminated the greatest threat to our control of Europe and with the additional resources we now control, our grandest ambitions are possible.", "", "", "", "", "", ""
1502, "Continuation War", "Russian-Finnish Conflict", "Russia have launched Air Raids against Finland claiming they were targeting our troops stationed in that country.  With our encouragement, Finland are using this as justification to launch full-scale attacks against the Soviet Union.  Hopefully Finland will not stop at the territory they were forced to concede at the end of the Winter War, but will instead assist us completely in Operation Barbarossa.", "", "", "", "", "", ""
1503, "War Expands", "Hungary Declares War Against Russia", "As expected, the Hungarian Forces have now joined our campaign against Russia.  This will certainly add significant strength to our forces on the Eastern Front.", "", "", "", "", "", ""
1504, "War Expands", "Slovakia Declares War on Russia", "As we advised, our puppet regime in Slovakia has also now declared war on the USSR.  Their participation in Operation Barbarossa will definitely be useful, but we should be careful not to trust their loyalty entirely.", "", "", "", "", "", ""
1505, "Operation Silver Fox", "Take Murmansk¶", "Murmansk is vital to Russia's supply lines from the United Kingdom and the United States.  If we can capture Murmansk, and more importantly the port city of Sveromorsk, it would be a significant strategic victory.  Hopefully we will get some assistance from Finnish Forces.", "Success", "Fail", "", "", "", ""
1506, " Moscow Air Raid", "Large Scale Raid on Moscow¶to Weaken Russia", "We have tried to damage British civilian morale with bombing raids over their capital, but we have yet to try this against the Russians.  We should launch a large scale raid of at least 40 Squadrons against Moscow to see what affect it has on the Russian citizenry.  Maybe we'll even get lucky and land a bomb on Stalin!", "Success", "Fail", "", "", "", ""
1507, "Japan invades Indochina", "South East Asian Conflict Expands", "The Japanese have launched an invasion of Indochina.  This escalation of hostilities in South East Asia has likely reached a tipping point.  The Americans have reacted by imposing a full embargo on sales of oil products to Japan further pushing Japan into a corner and their response is likely to be aggressive.", "", "", "", "", "", ""
1508, "The Greer Incident", "USS Greer Fired Upon", "We have received reports that one of our submarines, U-652, has launched a torpedo attack upon a US Destroyer, the USS Greer.  The Greer was not hit in the attack but this has certainly raised tensions even further between our nations.  Roosevelt has even authorized a 'shoot-on-sight' order against any German subs operating in any waters that America deems vital to its defense.", "", "", "", "", "", ""
1509, "Moscow Offensive", "Take Moscow¶", "The opportunity is finally here to capture Moscow.  If we are lucky this will lead to the Russians surrendering unconditionally.  Even if it doesn't though, the attack is overdue and if nothing else, it will hopefully end Stalin's hold on power.", "Success", "Fail", "", "", "", ""
151, "Minefield found", "", "We have discovered a minefield in an area now within our border at %s.  I recommend that we have it removed before it leads to civilian casualties.", "", "", "Agreed.  Get rid of it.", "No...  It will be useful as part of our defenses.", "", ""
1510, "Major Victory", "Moscow Falls", "Congratulations!  This is our most significant victory to date.  Even if Russia chooses to fight on, they should provide no real danger to our security nor to our control of Europe.  We can turn even more of our attention to the British and lock up Europe once and for all.  It might even be time to look past Europe...", "", "", "", "", "", ""
1511, "Military Campaign", "North Africa¶", "Rather than fight the winter weather as much as the Soviets, we should instead turn our attention once again to North Africa during these winter months.  It would be a significant victory if we can eliminate the British Forces throughout the North West African Theater! (Includes all nations west of Egypt, Sudan, and Uganda and north starting at the Belgian Congo.)", "A few British Battalions may remain, but for all intense and purposes we have successfully eliminated British Forces from the entire North West African Theater!", "Fail", "", "", "", ""
1512, "North Africa Report", "Allied Forces Defeated", "Our Afrika Korps has finally managed to secure North Africa.  What few Allied Units remain in that Theater are generally in retreat or so far remote from any vital position, they are essentially cut off.  Hopefully this will allow the Italians time to regroup and not make any additional blunders.", "", "", "", "", "", ""
1513, "Japan Attacks Americans", "Tripartite Pact¶Calls for Mutual Defense", "It was only a matter of time before Japan was forced to attack the Americans.  Just because they are the aggressor though does not mean we shouldn't honor the terms of the Tripartite Pact and also Declare War upon the US.", "Japan is grateful that we have openly sided with them.", "The Americans are in the war now and just because we haven't openly sided with Japan doesn't necessarily mean they will remain neutral in Europe.  It does however mean our relations with Japan have suffered.", "", "", "", ""
1514, "Bulgarian Alliance", "Influence Bulgaria¶Into War Declaration", "Bulgaria may be a signatory of the Tripartite Pact, but so far there involvement has been negligible.  We need to encourage them to take a more active role in this war and one of the first steps should be for them to Declare War on the United Kingdom!", "Succeess", "Fail", "", "", "", ""
1515, "Japanese gains in the Pacific", "", "", "", "", "", "", "", ""
1516, "Siege of Malta", "Take Malta¶", "The Italians have proven unable to take Malta, so once again it seems to have fallen to us to pick up the pieces.  We need to control Malta and help protect Southern Italy and further reduce the ability of the Allied Navies to operate in the Mediterranean.", "Congratulations.  This will reduce the Allied threat to Southern Italy and help protect our flank.", "Fail", "", "", "", ""
1517, "Aircraft Technology", "Research Me-262¶", "We need air superiority over Europe if we are to continue to press our campaigns.  Our researchers have done some preliminary design work on a new Jet Powered Interceptor, the Me-262.  This would give us a huge advantage over Allied Aircraft.  (Prerequisite Technologies include Jet Aircraft Prototype, Aircraft Turbine Engine Design, Jet Engine Airframes, and Jet Aircraft.)", "Success", "Fail", "", "", "", ""
1518, "Me-262 Researched", "First Jet Powered Fighter", "The Luftwaffe are thrilled that the Me-262 has now cleared all research hurdles and is ready for production.  We should immediately order as many Squadrons as possible into production so that we can be assured of Air Superiority over all theaters.", "", "", "", "", "", ""
1519, "Research Recommendation", "Basic Missiles Concept¶", "One of the reasons that the Bombing Raids over London did not achieve the success expected was that the raids came at the cost of some of our best pilots.  If we could instead launch bombing campaigns from afar without endangering costly air crews, it could finally break the English morale.  We have identified 'Basic Missiles Concept' as the first major step on this research path.  (Prerequisite Technologies include Launch Physics.) ", "Success", "Fail", "", "", "", ""
152, "Minefield incident", "", "Some of our citizens have been hurt in our minefields.  Incidents like this will impact our approval rating.  Perhaps we should clear these fields.", "", "", "Agree.  Clear land mines", "Deny.  Leave mines in place", "", ""
1520, "Major Tech Breakthrough", "Basic Missiles Concept Achieved", "This is obviously just the first step of many along this path.  As we advance further though, we can expect to intimidate both our enemies and allies alike!", "", "", "", "", "", ""
1521, "Case Anton", "Take Vichy out of the war¶", "Vichy France has signed an armistice with the United States.  Regardless of our existing armistice with Vichy, we cannot allow it to become a staging point for the Allies and must immediately occupy their territory.  If we don't, we leave an exposed flank on the French Mediterranean.", "Success", "Fail", "", "", "", ""
1522, "", "", "", "", "", "", "", "", ""
1523, "Vichy Eliminated", "France Under German Control", "Now that we have eliminated our own puppet state we need to reinforce the defenses along the Mediterranean Coast and protect our southern flank.", "", "", "", "", "", ""
1524, "Italian News Bulletin", "Mussolini Arrested", "Mussolini has been arrested and the full constitutional powers have reverted to Kin Victor Emmanuel III.  They are moving Mussolini around the country so as to keep his location secret from us in case we wish to forcibly return him to power.  It is the opinion of our advisers that this is merely the first step Italy will take to extricate themselves from the Tripartite Pact and realign themselves instead with the Allied powers.", "", "", "", "", "", ""
1525, "Take Italy", "Capture Rome¶", "Italian Forces are disintegrating and the Allies are making rapid progress in the South.  We should beat them to Rome in hopes of preventing a complete collapse of Italy and providing the Allies a clear path to our own border.", "Success", "Fail", "", "", "", ""
1526, "Italian Front", "Rome Occupied", "We have managed to occupy Rome.  If nothing else, this should delay the Allies and force them to reconsider their own plans.", "", "", "", "", "", ""
1527, "Invade Hungary", "", "", "", "", "", "", "", ""
1528, "Soviet Relations", "", "While we have formally recognized the Soviet Union, the issue of territory continues to create friction between our nations.  Our control of Manchukuo provides us access to mainland Asia but both the Soviets and the Chinese continue to resist our influence. We do not currently have the means to crush the Bolsheviks so we will need to take steps to maintain the status quo on the Japanese-Soviet border.", "", "", "", "", "", ""
1529, "Increase troops in Manchuria", "Deploy Troops to Rason,¶Jixi and Jinxi", "To ensure the immediate stability of our holdings on Continental Asia against potential threats, we need to deploy at least 20 battalions to each of the Battle Zones near Rason, Jixi, and Jinxi.", "Success", "Failure", "", "", "", ""
153, "Market Price Preventing Purchases", "Import Price on %s Preventing us from Buying", "We are currently unable to purchase %s from the international markets since the price has gone above the limit you set.  I would like to increase the maximum price you allow so that this situation doesn't occur again.", "", "", "Agree.  Purchase commodity", "Deny.  Do not purchase", "", ""
1530, "Manchurian Resources", "Coal Mine at 1545, 205¶Oil/Gas Field at 1532, 187", "We have discovered significant natural resource deposits in Manchuria that we should develop.  Build a Coal Mine at map coordinates 1545,205 (near the city of Benxi) and an Oil - Gas Field at map coordinates 1532, 187 (near the city of village of Changling).", "", "", "", "", "", ""
1531, "", "", "Oil/Gas Field at 1532, 187", "", "", "", "", "", ""
1532, "Sino-German relations", "", "Our State Department feels it is important for you to be aware that China and Germany currently have strong economic ties.  With our ambitions towards China, perhaps we should take steps to improve our relations with Germany in hopes of replacing China as one of their more important trading partners.  We could also use our common dislike of the Soviets as a building block to a better relationship with Hitler.", "", "", "", "", "", ""
1533, "Anti-Comintern Pact", "Join Germany in opposing¶the Soviet Union", "We have an opportunity to dramatically improve our working relationship with Germany by joining the Anti-Comintern.", "Congratulations.  This will align us much closer with one of Europe's growing powers.", "", "", "", "", ""
